Modelo,Accuracy,Precision,Recall,F1-score
logistic_regression,0.5367508061825864,0.5360713320724129,0.8442553191489361,0.6557593786151049
random_forest,0.5702212832202824,0.5652038107137279,0.77,0.6518958839953166
gradient_boosting,0.5480929611920382,0.5461672473867596,0.8004255319148936,0.649292371418709
svm_rbf,0.5696652952296231,0.5661249203314213,0.7559574468085106,0.6474125364431487
